Unnamed: 0,text,match,probability,item_id,model,dataset
15,aa,match,1.0,16,ViT-g-14,synthetic
16,aa,match,1.0,17,ViT-g-14,synthetic
17,aa,match,1.0,18,ViT-g-14,synthetic
18,ab,mismatch,0.0,1,ViT-g-14,synthetic
19,ab,mismatch,6.264331629370345e-25,2,ViT-g-14,synthetic
20,ab,mismatch,9.120862595669778e-21,3,ViT-g-14,synthetic
21,ab,mismatch,6.967907512356963e-37,4,ViT-g-14,synthetic
22,ab,mismatch,0.0,5,ViT-g-14,synthetic
23,ab,mismatch,0.0,6,ViT-g-14,synthetic
24,ab,mismatch,3.278620355104571e-17,7,ViT-g-14,synthetic
25,ab,mismatch,0.0,8,ViT-g-14,synthetic
26,ab,mismatch,0.0,9,ViT-g-14,synthetic
27,ab,mismatch,0.0,10,ViT-g-14,synthetic
28,ab,mismatch,0.0,11,ViT-g-14,synthetic
29,ab,mismatch,7.651089615213501e-43,12,ViT-g-14,synthetic
30,ab,mismatch,1.2024721342527551e-30,13,ViT-g-14,synthetic
31,ab,mismatch,1.464644300431227e-27,14,ViT-g-14,synthetic
32,ab,mismatch,3.978162189638112e-25,15,ViT-g-14,synthetic
33,ab,mismatch,5.324934164434305e-44,16,ViT-g-14,synthetic
34,ab,mismatch,5.8943690782418536e-24,17,ViT-g-14,synthetic
35,ab,mismatch,0.0,18,ViT-g-14,synthetic
36,ac,mismatch,0.0,1,ViT-g-14,synthetic
37,ac,mismatch,5.0782134994185325e-27,2,ViT-g-14,synthetic
38,ac,mismatch,8.519894663094888e-42,3,ViT-g-14,synthetic
39,ac,mismatch,2.474756795716241e-32,4,ViT-g-14,synthetic
40,ac,mismatch,0.0,5,ViT-g-14,synthetic
41,ac,mismatch,0.0,6,ViT-g-14,synthetic
42,ac,mismatch,1.949038663773103e-21,7,ViT-g-14,synthetic
43,ac,mismatch,0.0,8,ViT-g-14,synthetic
44,ac,mismatch,0.0,9,ViT-g-14,synthetic
45,ac,mismatch,0.0,10,ViT-g-14,synthetic
46,ac,mismatch,0.0,11,ViT-g-14,synthetic
47,ac,mismatch,0.0,12,ViT-g-14,synthetic
48,ac,mismatch,1.8325060277668494e-40,13,ViT-g-14,synthetic
49,ac,mismatch,4.9998699356580445e-25,14,ViT-g-14,synthetic
50,ac,mismatch,9.88313985084445e-27,15,ViT-g-14,synthetic
51,ac,mismatch,0.0,16,ViT-g-14,synthetic
52,ac,mismatch,3.531979223240926e-33,17,ViT-g-14,synthetic
53,ac,mismatch,0.0,18,ViT-g-14,synthetic
54,bb,match,1.0,1,ViT-g-14,synthetic
55,bb,match,1.0,2,ViT-g-14,synthetic
56,bb,match,1.0,3,ViT-g-14,synthetic
57,bb,match,1.0,4,ViT-g-14,synthetic
58,bb,match,1.0,5,ViT-g-14,synthetic
59,bb,match,1.0,6,ViT-g-14,synthetic
60,bb,match,0.999997615814209,7,ViT-g-14,synthetic
61,bb,match,1.0,8,ViT-g-14,synthetic
62,bb,match,1.0,9,ViT-g-14,synthetic
63,bb,match,1.0,10,ViT-g-14,synthetic
64,bb,match,1.0,11,ViT-g-14,synthetic
65,bb,match,1.0,12,ViT-g-14,synthetic
66,bb,match,1.0,13,ViT-g-14,synthetic
67,bb,match,1.0,14,ViT-g-14,synthetic
68,bb,match,1.0,15,ViT-g-14,synthetic
69,bb,match,1.0,16,ViT-g-14,synthetic
70,bb,match,1.0,17,ViT-g-14,synthetic
71,bb,match,1.0,18,ViT-g-14,synthetic
72,ba,mismatch,0.0,1,ViT-g-14,synthetic
73,ba,mismatch,1.949933020498683e-19,2,ViT-g-14,synthetic
74,ba,mismatch,0.0,3,ViT-g-14,synthetic
75,ba,mismatch,0.0,4,ViT-g-14,synthetic
76,ba,mismatch,0.0,5,ViT-g-14,synthetic
77,ba,mismatch,4.243999025213568e-17,6,ViT-g-14,synthetic
78,ba,mismatch,6.127248500968312e-22,7,ViT-g-14,synthetic
79,ba,mismatch,0.0,8,ViT-g-14,synthetic
80,ba,mismatch,0.0,9,ViT-g-14,synthetic
81,ba,mismatch,6.941112892057038e-37,10,ViT-g-14,synthetic
82,ba,mismatch,0.0,11,ViT-g-14,synthetic
83,ba,mismatch,0.0,12,ViT-g-14,synthetic
84,ba,mismatch,0.0,13,ViT-g-14,synthetic
85,ba,mismatch,5.5760757944179386e-18,14,ViT-g-14,synthetic
86,ba,mismatch,0.0,15,ViT-g-14,synthetic
87,ba,mismatch,0.0,16,ViT-g-14,synthetic
88,ba,mismatch,1.0318368188663111e-32,17,ViT-g-14,synthetic
89,ba,mismatch,7.247404954909271e-39,18,ViT-g-14,synthetic
90,bc,mismatch,0.0,1,ViT-g-14,synthetic
91,bc,mismatch,4.589473470806977e-23,2,ViT-g-14,synthetic
92,bc,mismatch,0.0,3,ViT-g-14,synthetic
93,bc,mismatch,5.481239199040487e-39,4,ViT-g-14,synthetic
94,bc,mismatch,0.0,5,ViT-g-14,synthetic
95,bc,mismatch,3.536749246109543e-27,6,ViT-g-14,synthetic
96,bc,mismatch,2.3778527520335047e-06,7,ViT-g-14,synthetic
97,bc,mismatch,0.0,8,ViT-g-14,synthetic
98,bc,mismatch,0.0,9,ViT-g-14,synthetic
99,bc,mismatch,0.0,10,ViT-g-14,synthetic
100,bc,mismatch,0.0,11,ViT-g-14,synthetic
101,bc,mismatch,5.810512289810738e-33,12,ViT-g-14,synthetic
102,bc,mismatch,0.0,13,ViT-g-14,synthetic
103,bc,mismatch,6.296023424834374e-11,14,ViT-g-14,synthetic
104,bc,mismatch,0.0,15,ViT-g-14,synthetic
105,bc,mismatch,0.0,16,ViT-g-14,synthetic
106,bc,mismatch,2.9733587409631434e-28,17,ViT-g-14,synthetic
107,bc,mismatch,1.8216880036222624e-44,18,ViT-g-14,synthetic
108,cc,match,1.0,1,ViT-g-14,synthetic
109,cc,match,1.0,2,ViT-g-14,synthetic
110,cc,match,1.0,3,ViT-g-14,synthetic
111,cc,match,1.0,4,ViT-g-14,synthetic
112,cc,match,1.0,5,ViT-g-14,synthetic
113,cc,match,1.0,6,ViT-g-14,synthetic
114,cc,match,0.99998939037323,7,ViT-g-14,synthetic
115,cc,match,1.0,8,ViT-g-14,synthetic
116,cc,match,1.0,9,ViT-g-14,synthetic
117,cc,match,1.0,10,ViT-g-14,synthetic
118,cc,match,1.0,11,ViT-g-14,synthetic
119,cc,match,1.0,12,ViT-g-14,synthetic
120,cc,match,1.0,13,ViT-g-14,synthetic
121,cc,match,1.0,14,ViT-g-14,synthetic
122,cc,match,1.0,15,ViT-g-14,synthetic
123,cc,match,1.0,16,ViT-g-14,synthetic
124,cc,match,1.0,17,ViT-g-14,synthetic
125,cc,match,1.0,18,ViT-g-14,synthetic
126,ca,mismatch,3.481939025298414e-37,1,ViT-g-14,synthetic
127,ca,mismatch,7.319131874295299e-19,2,ViT-g-14,synthetic
128,ca,mismatch,0.0,3,ViT-g-14,synthetic
129,ca,mismatch,0.0,4,ViT-g-14,synthetic
130,ca,mismatch,0.0,5,ViT-g-14,synthetic
131,ca,mismatch,8.812297569999789e-21,6,ViT-g-14,synthetic
132,ca,mismatch,1.0014374311140273e-05,7,ViT-g-14,synthetic
133,ca,mismatch,0.0,8,ViT-g-14,synthetic
134,ca,mismatch,1.2881258282249062e-09,9,ViT-g-14,synthetic
135,ca,mismatch,0.0,10,ViT-g-14,synthetic
136,ca,mismatch,0.0,11,ViT-g-14,synthetic
137,ca,mismatch,4.203895392974451e-45,12,ViT-g-14,synthetic
138,ca,mismatch,9.899815185777984e-20,13,ViT-g-14,synthetic
139,ca,mismatch,5.88087130418589e-39,14,ViT-g-14,synthetic
140,ca,mismatch,0.0,15,ViT-g-14,synthetic
141,ca,mismatch,0.0,16,ViT-g-14,synthetic
142,ca,mismatch,0.0,17,ViT-g-14,synthetic
143,ca,mismatch,7.850774646379788e-41,18,ViT-g-14,synthetic
144,cb,mismatch,0.0,1,ViT-g-14,synthetic
145,cb,mismatch,8.055983071487828e-21,2,ViT-g-14,synthetic
146,cb,mismatch,0.0,3,ViT-g-14,synthetic
147,cb,mismatch,0.0,4,ViT-g-14,synthetic
148,cb,mismatch,0.0,5,ViT-g-14,synthetic
149,cb,mismatch,8.003992896917537e-23,6,ViT-g-14,synthetic
150,cb,mismatch,6.468797550951422e-07,7,ViT-g-14,synthetic
151,cb,mismatch,0.0,8,ViT-g-14,synthetic
152,cb,mismatch,2.1151504455334503e-31,9,ViT-g-14,synthetic
153,cb,mismatch,0.0,10,ViT-g-14,synthetic
154,cb,mismatch,1.401298464324817e-45,11,ViT-g-14,synthetic
155,cb,mismatch,3.748297536832727e-20,12,ViT-g-14,synthetic
156,cb,mismatch,3.22047450031993e-38,13,ViT-g-14,synthetic
157,cb,mismatch,6.656447965235746e-40,14,ViT-g-14,synthetic
158,cb,mismatch,0.0,15,ViT-g-14,synthetic
159,cb,mismatch,0.0,16,ViT-g-14,synthetic
160,cb,mismatch,0.0,17,ViT-g-14,synthetic
161,cb,mismatch,6.048182921209604e-32,18,ViT-g-14,synthetic
